SMILES,Activity,Name
O=C(CCCn1c(=S)[nH]c2cc3c(cc2c1=O)OCO3)N1CCN(c2ccc(F)cc2)CC1,-1,26724476
O=C(C[C@@H]1C=C[C@H](NC(=O)C2CC2)[C@H](CO)O1)Nc1nccs1,-1,131436105
O=C(O)C[C@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2S(=O)(=O)c2ccc(Oc3ccccc3)cc2)O1,-1,131454107
Fc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,-1,17512875
COc1cccc(C(=O)OC(C)C(=O)NCC2CCCCC2)c1,-1,57264899
CN1CCN(NC(=O)Nc2ccc(F)cc2)CC1,-1,49823490
Cc1ccccc1NC(=O)C1CCCN(S(=O)(=O)c2c[nH]cn2)C1,-1,7967180
O=C(COC(=O)c1ccc([N+](=O)[O-])o1)Nc1ccc(F)cc1,-1,85198968
CC(=O)Nc1ccc(C=NNc2ccc([N+](=O)[O-])cc2S(=O)(=O)Nc2ccccc2C(=O)O)cc1,-1,85271602
CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)C3CC3)cc2OC[C@H](C)N(Cc2ccccc2)C[C@H]1C,-1,131431200
O=[N+]([O-])c1ccc(NCCN2CCOCC2)c([N+](=O)[O-])c1,-1,47199357
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,-1,56463526
CCOc1cc2c(cc1OC)C(c1cccc([N+](=O)[O-])c1)NCC2,-1,24783405
CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)C3CC3)cc2OC[C@@H](C)N(Cc2ccccc2)C[C@@H]1C,-1,131431201
CCOC(=O)[C@H]1[C@H]2COc3ccc(Cl)cc3[C@@H]2N2C(=O)CN(Cc3ccc(C)cc3)C(=O)[C@@]12C,-1,85146964
CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)c3ccccc3)cc2OC[C@@H](C)N(C(=O)C2CC2)C[C@@H]1C,-1,131429299
